name,category,what_you_learn,skills,content
Data Visualization Fundamentals,Data Science,,"Statistical Visualization, Histogram, Data Visualization Software, Data Visualization, Data Analysis, Power BI, Pivot Tables And Charts, Data-Driven Decision-Making, Interactive Data Visualization, Dashboard, Data Storytelling, Scatter Plots, Business Intelligence, Data Presentation","Data Visualization Fundamentals is designed to introduce you to the powerful world of data visualization using Power BI. This course will guide you through the basics of creating visually appealing and meaningful reports, charts and graphs. You'll learn how to identify the right visualization for different types of data, and how to use Power BI's tools to build reports that tell compelling stories with data. Whether you're new to data visualization or looking to sharpen your skills, this course provides practical knowledge that you can apply immediately. By the end, you'll be equipped with foundational skills to help drive data-informed decisions."
"Anthropometry, Biomechanics, and Motor Skills in User Design",Physical Science And Engineering,"You will be introduced to types of controls, be able to understand and identify key factors that influence how humans produce & sense motion.
You will be introduced to types of controls, be able to understand and identify key factors that influence how humans produce & sense motion.","Human Centered Design, Control Systems, Human Factors Engineering, Sports Medicine, Rehabilitation, Human Factors, Product Design, Injury Prevention, Human Musculoskeletal System, Mechanics","Course 5 examines the role of anthropometrics, biomechanics and motor skills in human performance as well as key factors that influence how humans produce and sense motion, and how these can be applied to training and testing performance."
Forecasting Financial Statements & Valuation for Accountants,Business,"Highlight the need to use information beyond the financials when performing financial statement analysis and valuation.
Highlight the need to use information beyond the financials when performing financial statement analysis and valuation.
Introduce forecasting and discuss the uses of forecasted data.
Introduce forecasting and discuss the uses of forecasted data.
Explain why calculating valuations are important and the many uses of determining a valuation.
Explain why calculating valuations are important and the many uses of determining a valuation.
Illustrate examples as to how to calculate valuations using different models
Illustrate examples as to how to calculate valuations using different models","Trend Analysis, Financial Forecasting, Financial Statement Analysis, Generally Accepted Accounting Principles (GAAP), Business Valuation, Financial Modeling, Financial Accounting, Financial Reporting, Cash Flows, Finance, Financial Analysis","The objective of this course is to provide you with the knowledge and skills necessary to analyze, interpret, understand and use financial information to make informed decisions.  We will discuss financial reporting from a user’s perspective, use a variety of tools to break apart financial reports into meaningful units for analysis, forecast financial statements, and value a firm.  This course is intended to give you exposure to the issues facing users of financial statements. You will better understand your role in the financial reporting process if you know how the financial statements will ultimately be used.Beyond the Financials: Insights, Analysis and Valuations will require you to think critically about issues for which there can be more than one “correct” answer.  Hence, your analysis and conclusions must be based on sound assumptions and well-constructed analysis and arguments."
Back-End Developer Capstone,Computer Science,"Create a Django web server with multiple API endpoints
Create a Django web server with multiple API endpoints
Connect Django to a MySQL database
Connect Django to a MySQL database","Server Side, Unit Testing, API Design, Restful API, Back-End Web Development, Full-Stack Web Development, Databases, Git (Version Control System), User Accounts, MySQL, Application Development, Web Applications, Software Testing, Django (Web Framework)","The Capstone project enables you to demonstrate multiple skills by solving an authentic real-world problem. You’ll test your abilities in full-stack back-end development in a real-life scenario by composing a Django web app. Each module includes a brief recap of, and links to, content that you have covered in previous courses in this program.You will use clean and bug-free coding to create a Django web server with multiple API endpoints and connect it to a MySQL database. You’ll also create a template system driven by Django views.

B​y the end of the course you will be able to:

• Compose a backend application using multiple skills
• Use Django to serve static HTML content
• Commit the project to a Git repository 
• Connect the backend to the database
• Implement the menu and table booking APIs
• Set up user registration and authentication
• Test the application with unit tests and Insomnia
• Synthesize the skills from this course and evaluate other learners
• Reflect on this project's content and on the learning path that lies ahead.

On completion of the Capstone project, you’ll have a project-based portfolio that you can show to potential employers when interviewing for an engineering role.

To complete this course, you will need back-end developer experience.  Additionally, it always helps to have a can-do attitude!"
Foundations of Data Science,Data Science,"Understand common careers and industries that use advanced data analytics
Understand common careers and industries that use advanced data analytics
Investigate the impact data analysis can have on decision-making
Investigate the impact data analysis can have on decision-making
Explain how data professionals preserve data privacy and ethics
Explain how data professionals preserve data privacy and ethics
Develop a project plan considering roles and responsibilities of team members
Develop a project plan considering roles and responsibilities of team members","Data Ethics, Workflow Management, Business Analytics, Project Management, Analytics, Stakeholder Communications, Artificial Intelligence, Communication, Data Storytelling, Data-Driven Decision-Making, Data Analysis, Data Science, Big Data","This is the first of eight courses in the Google Advanced Data Analytics Certificate, which will help develop the skills needed to apply for more advanced data professional roles, such as an entry-level data scientist or advanced-level data analyst. Data professionals analyze data to help businesses make better decisions. To do this, they use powerful techniques like data storytelling, statistics, and machine learning. In this course, you’ll begin your learning journey by exploring the role of data professionals in the workplace. You’ll also learn about the project workflow PACE (Plan, Analyze, Construct, Execute) and how it can help you organize data projects.Google employees who currently work in the field will guide you through this course by providing hands-on activities that simulate relevant tasks, sharing examples from their day-to-day work, and helping you enhance your data analytics skills to prepare for your career. 

Learners who complete the eight courses in this program will have the skills needed to apply for data science and advanced data analytics jobs. This certificate assumes prior knowledge of foundational analytical principles, skills, and tools covered in the Google Data Analytics Certificate.  

By the end of this course, you will:
-Describe the functions of data analytics and data science within an organization
-Identify tools used by data professionals 
-Explore the value of data-based roles in organizations 
-Investigate career opportunities for a data professional 
-Explain a data project workflow 
-Develop effective communication skills"
Teaching Impacts of Technology: Global Society,Social Sciences,,"Information Privacy, Data Ethics, Distributed Denial-Of-Service (DDoS) Attacks, Cybersecurity, Computer Networking, Emerging Technologies, Teaching, Blockchain, Virtual Private Networks (VPN), Computer Security Awareness Training, Instructional Strategies, Pedagogy, Encryption, Internet Of Things","In this course you’ll focus on how technology-enabled communication is changing geopolitics and, more broadly, how technology is connecting our world and changing lives. This will be done through a series of paired teaching sections, exploring a specific “Impact of Computing” in your typical day and the “Technologies and Computing Concepts” that enable that impact, all at a K12-appropriate level.This course is part of a larger Specialization through which you’ll learn impacts of computing concepts you need to know, organized into 5 distinct digital “worlds”, as well as learn pedagogical techniques and evaluate lesson plans and resources to utilize in your classroom. By the end, you’ll be prepared to teach pre-college learners to be both savvy and effective participants in their digital world.

In this particular digital world (global society), you’ll explore the following Impacts & Technology pairs --

Impacts (Freedom of Speech): Internet in third world countries, censorship, and social media
Technology and Computing Concepts: VPN, how Internet censorship works, metadata, tor

Impacts (Life Made Easy): Internet changing the way we live, travel, autonomous vehicles 
Technology and Computing Concepts: Internet of things, how self-driving cars work 

Impacts (Keeping Your Information Secure): two-factor authentication, PINs, Patterns, fingerprints, apple ID
Technology and Computing Concepts: DDoS attacks and Botnets, man-in-the-middle attacks, dangers of public Wifi, phishing, ransomware, bitcoin

In the pedagogy section for this course, in which best practices for teaching computing concepts are explored, you’ll learn about the principles of the computer science advanced placement exam, how it assesses students, and how to prepare your students for this critical exam. 

In terms of CSTA K-12 computer science standards, we’ll primarily cover learning objectives within the “impacts of computing” concept, while also including some within the “networks and the Internet” concepts and the “data and analysis” concept.  Practices we cover include “fostering and inclusive computing culture”, “recognizing and defining computational problems”, and “communicating about computing”."
Biology Everywhere Foundations,Health,"Describe the biology everywhere philosophy.
Describe the biology everywhere philosophy.
Explain how the process of science works and identify common misconceptions.
Explain how the process of science works and identify common misconceptions.
Explain and critique the criteria for identifying living and non-living entities.
Explain and critique the criteria for identifying living and non-living entities.
Explain the relationship between chemistry and biology.
Explain the relationship between chemistry and biology.","Water Quality, General Science and Research, Biology, Nutrition and Diet, Molecular Biology, Chemistry, Biochemistry, Scientific Methods","In this course, we will explore the nature of science and biology. We will discuss what the “biology everywhere” philosophy means and the history of the “biology everywhere” project. We will also discuss what science (and biology) are as a discipline of inquiry and how chemistry is foundational to understanding biology."
Financial Planning for Young Adults,Business,,"Cash Management, Investments, Financial Management, Risk Management, Budgeting, Finance, Insurance, Smart Goals, Credit Risk, Goal Setting, Financial Planning","Financial Planning for Young Adults (FPYA), developed in partnership with the CFP Board, is designed to provide an introduction to basic financial planning concepts for young adults. The FPYA course is organized across eight separate modules within a 4-week window. Topics covered include financial goal setting, saving and investing, budgeting, financial risk, borrowing and credit. Because financial planning is such a personal topic, you will be encouraged to define your own financial goals and objectives while we discuss concepts and provide tools which can be applied in helping you reach those goals.Within each module, you will view a combination of traditional lecture style videos along with video vignettes that introduce financial topics for discussion among participants. The video vignettes provide a unique and exciting component to this course. Each vignette introduces a real-world scenario where financial decisions must be made and financial planning concepts can be applied. You will be challenged to think critically about each scenario and decide how you might come to a resolution if ever faced with a similar situation.

Finally, the course also includes material throughout which is focused on career opportunities in financial planning, including video interviews with actual CFP® professionals and other professionals working in this exciting and growing career area. The final module in the class is devoted to the topic of financial planning as a career."
Introduction to Linear Algebra,Math And Logic,,"Mathematical Theory & Analysis, Applied Mathematics, Algebra, Linear Algebra, Arithmetic, General Mathematics, Probability, Mathematics and Mathematical Modeling, Markov Model, Advanced Mathematics, Geometry, Engineering Analysis, Mathematical Modeling, Statistical Methods","Linear algebra and calculus are the two most important foundational pillars on which modern mathematics is built. They are studied by almost all mathematics students at university, though typically labelled as different subjects and taught in parallel. Over time, students discover that linear algebra and calculus are inseparable (but not identical) twins that interlock to form the backbone of almost all applications of mathematics to physical and biological sciences, engineering and computer science. It is recommended that participants in the MOOC Introduction to Linear Algebra have already taken, or take in parallel, the MOOC Introduction to Calculus.All of our modern technical and electronic systems, such as the internet and search engines, on which we rely and tend to take for granted in our daily lives, work because of methods and techniques adapted from classical linear algebra. The key ideas involve vector and matrix arithmetic as well as clever methods for working around or overcoming difficulties, a form of obstacle avoidance, articulated in this course as the Conjugation Principle.

This course emphasises geometric intuition, gradually introducing abstraction and algebraic and symbolic manipulation, while at the same time striking a balance between theory and application, leading to a mastery of key threshold concepts in foundational mathematics. 

Students taking Introduction to Linear Algebra will:

•  gain familiarity with the arithmetic of geometric vectors, which may be thought of as directed line segments that can move about freely in space, and can be combined in different ways, using vector addition, scalar multiplication and two types of multiplication, the dot and cross product, related to projections and orthogonality (first week),
•  develop fluency with lines and planes in space, represented by vector and Cartesian equations, and learn how to solve systems of equations, using the method of Gaussian elimination and introduction of parameters, using fields of real numbers and modular arithmetic with respect to a prime number (second week),
•  be introduced to and gain familiarity with matrix arithmetic, matrix inverses, the role of elementary matrices and their relationships with matrix inversion and systems of equations, calculations and theory involving determinants (third week),
•  be introduced to the theory of eigenvalues and eigenvectors, how they are found or approximated, and their role in diagonalisation of matrices (fourth week),
•  see applications to simple Markov processes and stochastic matrices, and an introduction to linear transformations, illustrated using dilation, rotation and reflection matrices (fourth week),
•  see a brief introduction to the arithmetic of complex numbers and discussion of the Fundamental Theorem of Algebra (fourth week)."
Formwork Systems,Physical Science And Engineering,"“Formwork Systems” is a comprehensive course designed to equip learners with the basic knowledge and skills needed in the field of construction.
“Formwork Systems” is a comprehensive course designed to equip learners with the basic knowledge and skills needed in the field of construction.
It deals with concrete and wherever there is concrete there should be formwork in various forms based on the application.
It deals with concrete and wherever there is concrete there should be formwork in various forms based on the application.","Building Codes, Structural Analysis, Construction Engineering, Construction Management, Architectural Drawing, Materials science, Construction, Structural Engineering, Blueprint Reading, Safety Standards","Formwork Systems is a comprehensive course designed to equip learners with essential knowledge and skills in construction formwork. The course comprises of four modules. Module 1 covers the fundamental principles, strategic material selection of formwork, along with insights into essential accessories and tool applications. In Module 2, the learners explore on various formwork types, including conventional and engineered formwork for foundations, walls, columns, slabs, and beams. Module 3 focuses on practical aspects of system formwork, detailing components, assembly, and deshuttering techniques and Module 4 delves into specialized formwork applications, such as tunnel formwork and climbing systems, with real-world case studies.Upon completing the ""Formwork Systems"" course, learners will able to understand Fundamental Principles of Formwork, identify and apply essential components, explore various formwork types, develop practical skills and implement quality and safety standards.
Target Learners:
	Undergraduate students of Civil & Structural Engineering
	Post-Graduate Students of Structural Engineering
	Practicing Engineers in Structural Design
	Faculties of Civil Engineering Domain"
Sales and CRM Overview,Business,"Explain how CRM works in the context of sales, marketing, and customer service in modern businesses.
Explain how CRM works in the context of sales, marketing, and customer service in modern businesses.
Articulate use cases for how Salesforce can provide value to sales teams.
Articulate use cases for how Salesforce can provide value to sales teams.
Navigate Trailhead, the official learning platform of Salesforce.
Navigate Trailhead, the official learning platform of Salesforce.
Demonstrate a working knowledge of the basics of the Salesforce Sales Cloud.
Demonstrate a working knowledge of the basics of the Salesforce Sales Cloud.","B2B Sales, Sales Process, Sales Operations, Salesforce, Sales, Customer Data Management, Business-To-Consumer, Databases, Customer Relationship Management, Data Management","This course is the first of a series that aims to teach you the foundational skills in Salesforce that will prepare you for a variety of entry-level sales roles, including the sales operations specialist position.This course is designed for beginners. No previous experience in Salesforce, sales, or CRM is necessary to be successful. In this course, you will be introduced to essential concepts like the fundamentals of the sales process. You'll also learn about what Customer Relationship Management (CRM) systems are and what they are used for, you'll dive into Salesforce's main products and their use cases, and you will gain a working knowledge of the key functionalities of the Salesforce Sales Cloud that help support a business’s growth.

This course is the first step in your learning journey with Salesforce. It will provide you with the foundation you need to go into depth with more advanced Salesforce tools taught later in the certificate, and ultimately launch your new career. Please note that if you already have background knowledge in sales and CRM, or if you want to dive immediately into content that goes into more depth with Salesforce, it is recommended that you start with Course 2 in this certificate: Lead Management in Salesforce."
DevOps on AWS and Project Management,Information Technology,"Learn about the use cases for project management in business
Learn about the use cases for project management in business
Understand the differences between Agile and Waterfall methodologies
Understand the differences between Agile and Waterfall methodologies","Software Testing, Automation, Continuous Integration, DevOps, Application Deployment, Agile Methodology, Project Management, Waterfall Methodology, Kanban Principles, CI/CD, Software Development Life Cycle, Scrum (Software Development), Git (Version Control System), Continuous Deployment, Amazon Web Services","Curious about how software gets built, tested, and deployed? Do you wonder how a team of multiple people work on a code base? You've heard about DevOps, but are you sure you understand what it means?If you've wondered about these questions, this course is for you. We’ll cover the basic steps you need to take to dive into the wonderful world of DevOps and project management.

In Week 1, you'll learn about the definition and characteristics of a project. We will introduce project management best practices, including how to justify your project, developing a project summary and a project plan. The week will conclude with an overview of all phases of the software development lifecycle. The course continues with an overview of the pitfalls and perils of working without project management principles. We'll then introduce common project frameworks such as waterfall, agile, scrum and kanban. In Week 3, we'll define a Continuous Integration/Continuous Development pipeline, introduce source control and get hands-on by learning how AWS CodeCommit and AWS CodeBuild can help you when it is time to build. The course closes by highlighting the importance of testing and the various types of testing to consider. You'll learn when to deploy code and the different strategies that are available. A closing exercise will have you interacting with Cloud 9, CodeCommit, CodeBuild, CodeDeploy, CodePipeline."
Data Analyst Career Guide and Interview Preparation,Data Science,"Describe the role of a data analyst and some career path options as well as the prospective opportunities in the field.
Describe the role of a data analyst and some career path options as well as the prospective opportunities in the field.
Explain how to build a foundation for a job search, including researching job listings, writing a resume, and making a portfolio of work.
Explain how to build a foundation for a job search, including researching job listings, writing a resume, and making a portfolio of work.
Summarize what a candidate can expect during a typical job interview cycle, different types of interviews, and how to prepare for interviews.
Summarize what a candidate can expect during a typical job interview cycle, different types of interviews, and how to prepare for interviews.
Explain how to give an effective interview, including techniques for answering questions and how to make a professional personal presentation.
Explain how to give an effective interview, including techniques for answering questions and how to make a professional personal presentation.","Professional Networking, Business Writing, Presentations, Professional Development, Portfolio Management, Analytical Skills, Data Analysis, Recruitment, LinkedIn, Relationship Building, Data Storytelling, Interviewing Skills","Data analytics professionals are in high demand around the world, and the trend shows no sign of slowing. There are lots of great jobs available, but lots of great candidates too. How can you get the edge in such a competitive field?This course will prepare you to enter the job market as a great candidate for a data analyst position. It provides practical techniques for creating essential job-seeking materials such as a resume and a portfolio, as well as auxiliary tools like a cover letter and an elevator pitch. You will learn how to find and assess prospective job positions, apply to them, and lay the groundwork for interviewing. 

The course doesn’t stop there, however. You will also get inside tips and steps you can use to perform professionally and effectively at interviews. You will learn how to approach a take-home challenges and get to practice completing them. Additionally, it provides information about the regular functions and tasks of data analysts, as well as the opportunities of the profession and some options for career development.

You will get guidance from a number of experts in the data industry through the course. They will discuss their own career paths and talk about what they have learned about networking, interviewing, solving coding problems, and fielding other questions you may encounter as a candidate. Let seasoned data analysis professionals share their experience to help you get ahead and land the job you want."
Authorization and Managing Identity in Azure,Information Technology,"Discuss the principles and importance of cloud governance in an organization.
Discuss the principles and importance of cloud governance in an organization.
Describe the fundamental concepts of Microsoft Azure, including its key services, infrastructure, and its cloud computing model.
Describe the fundamental concepts of Microsoft Azure, including its key services, infrastructure, and its cloud computing model.
Explain the importance of integrating on-premises and cloud-based authentication solutions and describe encryption and data protection mechanisms.
Explain the importance of integrating on-premises and cloud-based authentication solutions and describe encryption and data protection mechanisms.
Identify role-based access control (RBAC) strategies for fine-grained access management.
Identify role-based access control (RBAC) strategies for fine-grained access management.","Kubernetes, Authorization (Computing), Data Integration, Cloud Security, Cloud Infrastructure, Encryption, Identity and Access Management, Single Sign-On (SSO), Authentications, Azure Active Directory, Cloud Computing, Microsoft Azure, Multi-Factor Authentication, Role-Based Access Control (RBAC)","This course, part of the AZ-305 Designing Microsoft Azure Infrastructure Solutions Exam Prep Specialization provides an overview of authorization and managing identity in Azure. It introduces you to cloud governance principles, the fundamentals of Microsoft Azure, authentication solutions, encryption mechanisms, and role-based access control (RBAC) strategies.By the end of this course, you will be able to:

•	Discuss the principles and importance of cloud governance in an organization.
•	Describe the fundamental concepts of Microsoft Azure, including its key services, infrastructure, and its cloud computing model.
•	Explain the importance of integrating on-premises and cloud-based authentication solutions and describe encryption and data protection mechanisms.
•	Identify role-based access control (RBAC) strategies for fine-grained access management.

The course blends instructional material, assessments, hands-on labs, and a final project to provide holistic learning experience. As a Microsoft Azure solutions architect, you should have subject matter expertise in designing cloud and hybrid solutions that run on Azure, including computing, network, storage, monitoring, and security."
Introduction to Mobile Development,Computer Science,"The role of a cross-platform mobile developer
The role of a cross-platform mobile developer
Creating a simple webpage using HTML5
Creating a simple webpage using HTML5
Styling a web page using CSS
Styling a web page using CSS
Explaining React and React Native
Explaining React and React Native","Responsive Web Design, Cross Platform Development, Mobile Development, Javascript, React Native, Browser Compatibility, User Interface (UI) Design, HTML and CSS, Web Development, Web Design and Development","If you want to become a mobile developer, this course is a good place to start. You will learn about the day-to-day responsibilities of web and mobile developers and get a general understanding of the core and underlying technologies that power the internet.You’ll be introduced to core technologies like HTML and CSS, and get opportunities to practice using them. 
 
In this course, you will also discover the unique world of cross-platform mobile applications (apps). Explore the various benefits of using a system like React Native to build mobile apps and get an opportunity to practice the basics."
How Science Turns Data Into Knowledge,Data Science,"Learn the rationale and limitations of significance testing within scientific inquiry, including crafting hypotheses and interpreting p-values
Learn the rationale and limitations of significance testing within scientific inquiry, including crafting hypotheses and interpreting p-values
Learn how scientific experiments are proposed, designed, reviewed, and published
Learn how scientific experiments are proposed, designed, reviewed, and published
Identify common biases and mistranslations in science research reporting and the challenges of conveying science research to the public effectively
Identify common biases and mistranslations in science research reporting and the challenges of conveying science research to the public effectively
Assess the credibility of claims about research and recognize the role of replicability and generalizability in scientific progress
Assess the credibility of claims about research and recognize the role of replicability and generalizability in scientific progress","Media and Communications, Peer Review, Statistical Inference, Data Literacy, Scientific Methods, Research, Probability & Statistics, Data Analysis, Experimentation, Statistical Hypothesis Testing, Research Design, Statistical Methods","How Science Turns Data Into Knowledge teaches you how to evaluate scientific claims critically, address experimental limitations, and recognize the roles of trust and responsibility within research.During the course, you’ll explore the nuances of significance testing, scientific research methods, and science communication, emphasizing the importance of carefully interpreting statistical results. After learning about the scientific process, you’ll learn how science can make its way into the news cycle—and how critical context can be lost amidst the noise. By the end of the course, you’ll be able to think more critically about the media you consume and how you can view science news and information with a more nuanced perspective.  

This is the second course in Understanding Data: Navigating Statistics, Science, and AI Specialization, in which you’ll gain a core foundation for statistical and data literacy and gain an understanding of the data we encounter in our everyday lives."
"Assets, Threats, and Vulnerabilities",Computer Science,"Classify assets
Classify assets
Analyze an attack surface to find risks and vulnerabilities
Analyze an attack surface to find risks and vulnerabilities
Identify threats, such as social engineering, malware and web-based exploits
Identify threats, such as social engineering, malware and web-based exploits
Summarize the threat modeling process
Summarize the threat modeling process","Threat Detection, Identity and Access Management, Authorization (Computing), Threat Management, Cyber Threat Intelligence, Security Strategy, Cryptography, NIST 800-53, Malware Protection, Threat Modeling, MITRE ATT&CK Framework, Security Controls, Cybersecurity, Risk Management Framework, Vulnerability Management, Cyber Attacks, Cyber Risk, Authentications, Data Security, Vulnerability Assessments","This is the fifth course in the Google Cybersecurity Certificate. These courses will further explore the importance of protecting organizational assets from threats, risks, and vulnerabilities. They will also continue to develop an understanding of asset classification and how to use the National Institute of Standards and Technology’s (NIST) Cybersecurity Framework (CSF), as well as security controls, to protect assets and mitigate risk. Additionally, learners will gain an understanding of how to develop a threat actor mindset to help protect assets from ever-evolving threat actor tactics and techniques.By the end of this course, you will: 
- Learn effective data handling processes.
- Discuss the role of encryption and hashing in securing assets.
- Describe how to effectively use authentication and authorization. 
- Explain how common vulnerability exposures are identified by MITRE.
- Analyze an attack surface to find risks and vulnerabilities.
- Identify threats, such as social engineering, malware, and web-based exploits.
- Summarize the threat modeling process."
Introduction to the Biology of Cancer,Health,,"Medical Imaging, Molecular Biology, Risk Analysis, Cell Biology, Biology, Oncology, Clinical Trials, Treatment Planning, Pathology, Radiation Therapy, Surgery, Diagnostic Radiology, Epidemiology","Over 500,000 people in the United States and over 8 million people worldwide are dying every year from cancer. As people live longer, the incidence of cancer is rising worldwide and the disease is expected to strike over 20 million people annually by 2030. This open course is designed for people who would like to develop an understanding of cancer and how it is prevented, diagnosed, and treated.The course introduces the molecular biology of cancer (oncogenes and tumor suppressor genes) as well as the biologic hallmarks of cancer. The course also describes the risk factors for the major cancers worldwide, including lung cancer, breast cancer, colon cancer, prostate cancer, liver cancer, and stomach cancer. We explain how cancer is staged, the major ways cancer is found by imaging, and how the major cancers are treated.

In addition to the core materials, this course includes two Honors lessons devoted to cancers of the liver and prostate.

Upon successful completion of this course, you will be able to:

- Identify the major types of cancer worldwide. (Lecture 1)
- Describe how genes contribute to the risk and growth of cancer. (Lecture 2)
- List and describe the ten cellular hallmarks of cancer. (Lecture 3)
- Define metastasis, and identify the major steps in the metastatic process. (Lecture 4)
- Describe the role of imaging in the screening, diagnosis, staging, and treatments of cancer. (Lecture 5)
- Explain how cancer is treated. (Lecture 6)

We hope that this course gives you a basic understanding of cancer biology and treatment. The course is not designed for patients seeking treatment guidance – but it can help you understand how cancer develops and provides a framework for understanding cancer diagnosis and treatment."
"Providing Social, Emotional, Behavioral, and Special Education Services in School",Health,,"Special Education, Positive Behavior Support, Crisis Intervention, Data Collection, Individualized Education Programs (IEP), Mental Health, Behavior Management, School Psychology, Health Promotion, Student Support and Services, Case Studies","Welcome to our the third course in the School Health specialization: Providing Social, Emotional, Behavioral, and Special Education Services in School. In this course, you will learn about how social-emotional skills, mental health, and learning are related. We will focus on how schools can support social-emotional learning and promote mental health for all students.We will walk through the reasons that schools should promote student mental health. Next, we’ll review school wide activities to support skill development and prevent social, emotional, and behavioral challenges. Then, we’ll identify strategies for students at risk of developing problems. Finally, we’ll highlight interventions that can be used for students who have significant mental health needs. We will emphasize the ways that schools think about mental health problems and provide services for students with disabilities, which is different than in medical or mental health settings. 

As part of the course, we will introduce two students to help all of this information come alive. Prepare yourself to learn about an essential piece of student wellness—social-emotional health."
Sexing the Canvas: Art and Gender,Arts And Humanities,,"Sociology, Art History, World History, Cultural Diversity, Research, Diversity Awareness","What do paintings tell us about sex? How is art gendered? In this course we will study some of the world’s most beloved pictures guided by expert curators and art historians who step outside of the square, bringing a gendered reading to the masterpieces contained in the magnificent collections that we have been lucky enough to bring to the Coursera platform.  In this course you will learn how:* Gender and sexuality is an integral part of the production and reception of works of art
* To increase your understanding of paintings through theories of gender and sexuality
* To understand key terms from gender-related theories of art history and museology
* To recognise the operation of what is termed ‘the gaze’ and how it works in relation to paintings
* Ideas about gender and sexuality can productively be employed in theorising art curatorial practices
* To take the initiative in relating theoretical ideas about gender and sexuality to the reading and display of art and visual cultures.

View the MOOC promotional video here: http://tinyurl.com/hm7qbl3"
Design of Hydropower Structures,Physical Science And Engineering,,"Engineering Analysis, Construction, Environmental Engineering, Hydraulics, Mechanical Design, Engineering Design Process, Structural Engineering, Water Resource Management, Structural Analysis, Hydrology, Civil Engineering","This course offers a comprehensive examination of the critical components and design principles involved in hydropower engineering. Key topics include storage zones within reservoirs and water level control, forces impacting gravity dams, and hydraulic design principles for dams, barrages, and desilting basins. The course also addresses basic design requirements and procedures for embankment dams. The learners will explore water conductor systems, power intake structures, and methods for hydraulic and structural analysis of these components. The course covers the design of head race tunnels, including considerations for economic diameter, structural integrity, and seepage control. Additionally, the course delves into surge tanks, surge shafts, and surge chambers, focusing on hydraulic and structural design principles. Penstocks and pressure shafts are discussed, including classifications, design load conditions, and design procedures. The course also covers the design of turbine and generator floors, stability analysis of powerhouse structures, and considerations for underground powerhouses.Target Learners:
	Undergraduate students of Civil Engineering
	Post-Graduate Students of Integrated Water Resources Management
	Post-Graduate Students of Structural Engineering
	Faculties of Civil Engineering Domain
	Working Professionals in the above domain & other aspiring learners
Pre-requisites:
	Fundamental knowledge on Fluid Mechanics, Applied Hydraulics, Water Resources Engineering  
	Exposure to Indian codal standards"
Certified Ethical Hacker (CEH): Unit 2,Information Technology,"Master footprinting methodologies and Open Source Intelligence (OSINT) techniques.
Master footprinting methodologies and Open Source Intelligence (OSINT) techniques.
Conduct comprehensive network scanning to identify live hosts and open ports.
Conduct comprehensive network scanning to identify live hosts and open ports.
Utilize advanced tools for effective reconnaissance and information gathering.
Utilize advanced tools for effective reconnaissance and information gathering.
Develop skills in enumeration to extract detailed target system information.
Develop skills in enumeration to extract detailed target system information.","Network Analysis, Vulnerability Scanning, Cyber Security Assessment, Open Source Technology, Network Security, Vulnerability Assessments, Network Protocols, Penetration Testing","This course focuses on information gathering and vulnerability identification. You will explore the essential techniques of footprinting, scanning networks, and enumeration. Learn how to gather comprehensive data on target systems using both passive and active methods, and develop a keen understanding of network structures and live hosts. You'll explore the use of advanced tools like Shodan, Maltego, and Recon-NG, for extracting critical information such as usernames, machine names, and network resources. By the end of this course, you will be equipped with the skills to conduct thorough reconnaissance."
VLSI CAD Part II: Layout,Computer Science,,"Applied Mathematics, Hardware Design, Network Routing, Calculus, Graph Theory, Algorithms, Electronic Hardware, Systems Design, Electrical and Computer Engineering, Mathematical Modeling, Computer Engineering, Linear Algebra, Semiconductors, Data Structures, Application Specific Integrated Circuits, Computational Logic, Computer-Aided Design","You should complete the VLSI CAD Part I: Logic course before beginning this course.A modern VLSI chip is a remarkably complex beast:  billions of transistors, millions of logic gates deployed for computation and control, big blocks of memory, embedded blocks of pre-designed functions designed by third parties (called “intellectual property” or IP blocks).  How do people manage to design these complicated chips?  Answer:  a sequence of computer aided design (CAD) tools takes an abstract description of the chip, and refines it step-wise to a final design. This class focuses on the major design tools used in the creation of an Application Specific Integrated Circuit (ASIC) or System on Chip (SoC) design.  Our focus in this part of the course is on the key logical and geometric representations that make it possible to map from logic to layout, and in particular, to place, route, and evaluate the timing of large logic networks. Our goal is for students to understand how the tools themselves work, at the level of their fundamental algorithms and data structures. Topics covered will include: technology mapping, timing analysis, and ASIC placement and routing.

Recommended Background:
Programming experience (C, C++, Java, Python, etc.) and basic knowledge of data structures and algorithms (especially recursive algorithms).  An understanding of basic digital design:  Boolean algebra, Kmaps, gates and flip flops, finite state machine design.  Linear algebra and calculus at the level of a junior or senior in engineering.  Elementary knowledge of RC linear circuits (at the level of an introductory physics class)."
